latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
22.89729,78.6059,318.15,1.1,1.04,2026-04-05,404,Terra,MODIS,61,6.1NRT,303.49,7.01,D
22.90027,78.28647,321.28,1.07,1.03,2026-04-05,404,Terra,MODIS,64,6.1NRT,303.34,10.08,D
22.90098,78.522,318.81,1.09,1.04,2026-04-05,404,Terra,MODIS,63,6.1NRT,302.28,8.01,D
22.9018,78.27641,321.04,1.07,1.03,2026-04-05,404,Terra,MODIS,68,6.1NRT,302.9,9.58,D
22.90693,75.68939,319.94,1.02,1.01,2026-04-05,404,Terra,MODIS,53,6.1NRT,305.36,6.52,D
22.90967,77.98174,333.22,1.05,1.02,2026-04-05,404,Terra,MODIS,83,6.1NRT,304.58,21.53,D
22.91116,77.97189,332.26,1.04,1.02,2026-04-05,404,Terra,MODIS,82,6.1NRT,304.29,20.35,D
22.91403,78.13483,342.17,1.06,1.03,2026-04-05,404,Terra,MODIS,90,6.1NRT,303.61,38.75,D
22.91553,78.12489,338.33,1.06,1.03,2026-04-05,404,Terra,MODIS,87,6.1NRT,303.66,30.64,D
22.9179,79.52131,328.03,1.21,1.09,2026-04-05,404,Terra,MODIS,79,6.1NRT,299.37,23.34,D
22.91874,75.81535,327.49,1.02,1.01,2026-04-05,404,Terra,MODIS,75,6.1NRT,305.76,13.1,D
22.92114,78.45211,320.43,1.08,1.04,2026-04-05,404,Terra,MODIS,67,6.1NRT,303.04,9.22,D
22.92757,75.81672,323.38,1.02,1.01,2026-04-05,404,Terra,MODIS,68,6.1NRT,307.43,8.45,D
22.9287,75.60995,319.48,1.03,1.01,2026-04-05,404,Terra,MODIS,57,6.1NRT,306.71,6.06,D
22.94205,78.49779,325.74,1.09,1.04,2026-04-05,404,Terra,MODIS,75,6.1NRT,302.93,15.72,D
22.95397,75.62375,324.35,1.03,1.01,2026-04-05,404,Terra,MODIS,70,6.1NRT,306.54,11.87,D
22.9543,78.05624,323.98,1.05,1.02,2026-04-05,404,Terra,MODIS,72,6.1NRT,304.48,10.82,D
22.9555,78.16855,319.95,1.06,1.03,2026-04-05,404,Terra,MODIS,66,6.1NRT,303.34,7.92,D
22.95703,78.15858,321.95,1.06,1.03,2026-04-05,404,Terra,MODIS,70,6.1NRT,303.96,9.79,D
22.96944,75.30653,319.63,1.04,1.02,2026-04-05,404,Terra,MODIS,59,6.1NRT,302.6,7.79,D
22.96954,78.43982,316.67,1.08,1.04,2026-04-05,404,Terra,MODIS,55,6.1NRT,302.82,6.55,D
22.9742,75.12882,322.94,1.06,1.03,2026-04-05,404,Terra,MODIS,68,6.1NRT,305.45,10.25,D
22.98792,78.79964,316.89,1.12,1.05,2026-04-05,404,Terra,MODIS,58,6.1NRT,301.75,7.13,D
22.98996,79.31557,319.76,1.18,1.08,2026-04-05,404,Terra,MODIS,67,6.1NRT,294.46,14.63,D
22.99448,78.0937,317.83,1.05,1.02,2026-04-05,404,Terra,MODIS,40,6.1NRT,303.44,5.51,D
23.00492,75.7271,328.04,1.02,1.01,2026-04-05,404,Terra,MODIS,76,6.1NRT,306.94,14.68,D
23.00624,75.71743,324.63,1.02,1.01,2026-04-05,404,Terra,MODIS,71,6.1NRT,307.63,10.87,D
23.04029,75.7326,324,1.02,1.01,2026-04-05,404,Terra,MODIS,70,6.1NRT,308.14,9.85,D
23.04702,76.09237,321.08,1.01,1,2026-04-05,404,Terra,MODIS,43,6.1NRT,305.45,7.57,D
23.05713,76.08422,323.22,1.01,1,2026-04-05,404,Terra,MODIS,69,6.1NRT,306.85,9.57,D
23.06807,76.13466,325.99,1.01,1,2026-04-05,404,Terra,MODIS,74,6.1NRT,307.08,11.58,D
23.08186,75.75878,322.3,1.02,1.01,2026-04-05,404,Terra,MODIS,59,6.1NRT,306.5,10.44,D
23.10372,76.07211,318.47,1.01,1,2026-04-05,404,Terra,MODIS,31,6.1NRT,305.81,4.63,D
23.11566,75.44601,317.22,1.04,1.02,2026-04-05,404,Terra,MODIS,45,6.1NRT,304.9,5.21,D
23.12842,76.1702,322.94,1.01,1,2026-04-05,404,Terra,MODIS,68,6.1NRT,307.22,9.73,D
